score,k,N,thr,tp,fp,features,hp
4785,2,1000,0.5170436431970311,679,321,"['V160', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
4770,2,997,0.5158799221948128,677,320,"['V191', 'V380']","{'n_estimators': 54, 'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 5, 'criterion': 'entropy', 'class_weight': 'balanced'}"
4755,2,997,0.5255824486870418,676,321,"['V191', 'V160']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
4750,3,1000,0.5206487509602704,690,310,"['V215', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
4730,2,999,0.5304352133918816,675,324,"['V176', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
4730,2,999,0.5135881660236954,675,324,"['V191', 'V342']","{'n_estimators': 158, 'max_depth': 3, 'min_samples_split': 7, 'min_samples_leaf': 3, 'criterion': 'gini', 'class_weight': None}"
4715,2,999,0.5267358758170163,674,325,"['V255', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
4710,2,1000,0.5351532512249312,674,326,"['V255', 'V191']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
4670,2,996,0.5259997618950936,670,326,"['V160', 'V215']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
4635,2,1000,0.5273545888256731,669,331,"['V191', 'V215']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
4625,2,999,0.5086107508972927,668,331,"['V380', 'V342']","{'n_estimators': 54, 'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 5, 'criterion': 'entropy', 'class_weight': 'balanced'}"
4545,2,1000,0.515473227185597,663,337,"['V176', 'V215']","{'n_estimators': 158, 'max_depth': 3, 'min_samples_split': 7, 'min_samples_leaf': 3, 'criterion': 'gini', 'class_weight': None}"
4480,2,998,0.5092646511590987,658,340,"['V215', 'V380']","{'n_estimators': 54, 'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 5, 'criterion': 'entropy', 'class_weight': 'balanced'}"
4330,2,998,0.519889186109372,648,350,"['V215', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
